number,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",HOOD,   251.36
2,Western Digital,WDC,   180.06
3,Seagate Technology,STX,   161.64
4,Newmont,NEM,   145.56
5,Micron Technology,MU,   141.03
6,Palantir Technologies,PLTR,   135.93
7,Lam Research,LRCX,   96.25
8,Advanced Micro Devices,AMD,   93.22
9,NRG Energy,NRG,   85.44
10,AppLovin Corporation,APP,   84.86
11,Intel,INTC,   84.71
12,CVS Health,CVS,   84.15
13,GE Vernova,GEV,   82.56
14,Amphenol,APH,   81.44
15,GE Aerospace,GE,   80.37
16,"Tapestry, Inc.",TPR,   78.74
17,Corning Inc.,GLW,   78.50
18,KLA Corporation,KLAC,   75.89
19,Oracle Corporation,ORCL,   75.13
20,Constellation Energy,CEG,   73.96
21,Howmet Aerospace,HWM,   73.69
22,Warner Bros. Discovery,WBD,   72.19
23,Supermicro,SMCI,   71.92
24,Monolithic Power Systems,MPWR,   70.16
25,Paramount Skydance Corp,PSKY,   60.09
26,TE Connectivity,TEL,   56.06
27,DoorDash,DASH,   55.89
28,Idexx Laboratories,IDXX,   53.93
29,Uber,UBER,   52.85
30,"EMCOR Group, Inc.",EME,   51.80
31,Broadcom,AVGO,   50.75
32,Interactive Brokers Group,IBKR,   50.30
33,eBay,EBAY,   48.96
34,Huntington Ingalls Industries,HII,   46.26
35,Jabil,JBL,   45.78
36,Vistra Corp.,VST,   45.43
37,Caterpillar Inc.,CAT,   45.35
38,Cencora,COR,   44.30
39,HCA Healthcare,HCA,   42.97
40,Ralph Lauren Corporation,RL,   42.56
41,Take-Two Interactive,TTWO,   42.48
42,CrowdStrike,CRWD,   41.25
43,Dollar General,DG,   39.43
44,Applied Materials,AMAT,   38.50
45,Wynn Resorts,WYNN,   38.40
46,Citigroup,C,   38.20
47,BNY Mellon,BK,   38.13
48,Quanta Services,PWR,   38.11
49,McKesson Corporation,MCK,   38.00
50,Johnson Controls,JCI,   37.93
51,United Rentals,URI,   37.54
52,Welltower,WELL,   37.27
53,Aptiv,APTV,   36.92
54,Electronic Arts,EA,   36.91
55,RTX Corporation,RTX,   36.89
56,Nvidia,NVDA,   36.49
57,Allegion,ALLE,   35.82
58,Coinbase Global,COIN,   35.79
59,Netflix,NFLX,   34.57
60,L3Harris,LHX,   34.52
61,TKO Group Holdings,TKO,   34.02
62,Alphabet Inc. (Class A),GOOGL,   33.99
63,Monster Beverage,MNST,   33.69
64,Estée Lauder Companies (The),EL,   33.68
65,Alphabet Inc. (Class C),GOOG,   33.49
66,Hasbro,HAS,   33.29
67,Johnson & Johnson,JNJ,   33.24
68,Gilead Sciences,GILD,   33.15
69,Cardinal Health,CAH,   32.04
70,Marathon Petroleum,MPC,   31.73
71,First Solar,FSLR,   31.61
72,Philip Morris International,PM,   31.26
73,Goldman Sachs,GS,   31.22
74,Invesco,IVZ,   30.35
75,Royal Caribbean Group,RCL,   30.33
76,Dell Technologies,DELL,   29.92
77,Arista Networks,ANET,   29.69
78,AbbVie,ABBV,   29.04
79,Valero Energy,VLO,   28.84
80,Eversource Energy,ES,   28.77
81,Dollar Tree,DLTR,   28.37
82,Steel Dynamics,STLD,   28.35
83,O'Reilly Auto Parts,ORLY,   28.08
84,Leidos,LDOS,   28.04
85,Verisign,VRSN,   27.92
86,IBM,IBM,   27.91
87,American Electric Power,AEP,   27.77
88,Charles Schwab Corporation,SCHW,   27.22
89,Incyte,INCY,   26.91
90,Exelon,EXC,   26.80
91,W. R. Berkley Corporation,WRB,   26.73
92,Evergy,EVRG,   26.69
93,Atmos Energy,ATO,   26.66
94,Morgan Stanley,MS,   26.10
95,LabCorp,LH,   26.04
96,Northrop Grumman,NOC,   25.98
97,Entergy,ETR,   25.98
98,Xylem Inc.,XYL,   25.76
99,Bunge Global,BG,   25.65
100,Quest Diagnostics,DGX,   25.62
101,General Dynamics,GD,   25.58
102,AutoZone,AZO,   25.42
103,CenterPoint Energy,CNP,   24.91
104,Archer Daniels Midland,ADM,   24.38
105,WEC Energy Group,WEC,   24.33
106,Altria,MO,   24.32
107,Ulta Beauty,ULTA,   24.31
